source,target,PhyloDist,Family_source,Family_target,System_source,System_target
bg,bg,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hi,bg,4792.53796424689,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
pl,bg,1227.32029265216,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sk,bg,1227.34011154993,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,bg,4406.86389378275,Germanic,Slavic,com/neu,masc/fem/neu
nl,bg,4406.85654057838,Germanic,Slavic,com/neu,masc/fem/neu
el,bg,4536.49105152283,Greek,Slavic,masc/fem/neu,masc/fem/neu
sl,bg,820.785664859035,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,bg,4405.79770043158,Germanic,Slavic,masc/fem/neu,masc/fem/neu
da,bg,4406.60625962947,Germanic,Slavic,com/neu,masc/fem/neu
lt,bg,2457.35716819438,Baltic,Slavic,masc/fem,masc/fem/neu
ru,bg,1227.37728755284,Slavic,Slavic,masc/fem/neu,masc/fem/neu
cs,bg,1226.82435833036,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lv,bg,2457.45889855487,Baltic,Slavic,masc/fem,masc/fem/neu
ro,bg,4407.02226644504,Romance,Slavic,masc/fem/neu,masc/fem/neu
ca,bg,4407.21204970195,Romance,Slavic,masc/fem,masc/fem/neu
hr,bg,666.07611935692,Slavic,Slavic,masc/fem/neu,masc/fem/neu
it,bg,4406.60200761501,Romance,Slavic,masc/fem,masc/fem/neu
pt,bg,4407.38129531158,Romance,Slavic,masc/fem,masc/fem/neu
es,bg,4407.28014290503,Romance,Slavic,masc/fem,masc/fem/neu
uk,bg,1227.68745860999,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,bg,4405.42178892398,Romance,Slavic,masc/fem,masc/fem/neu
pl,hr,1226.97150832277,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hi,hr,4792.1891799175,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
sv,hr,4406.51510945336,Germanic,Slavic,com/neu,masc/fem/neu
lv,hr,2457.11011422549,Baltic,Slavic,masc/fem,masc/fem/neu
da,hr,4406.25747530009,Germanic,Slavic,com/neu,masc/fem/neu
de,hr,4405.44891610219,Germanic,Slavic,masc/fem/neu,masc/fem/neu
uk,hr,1227.3386742806,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,hr,4405.07300459459,Romance,Slavic,masc/fem,masc/fem/neu
el,hr,4536.14226719345,Greek,Slavic,masc/fem/neu,masc/fem/neu
ca,hr,4406.86326537256,Romance,Slavic,masc/fem,masc/fem/neu
nl,hr,4406.507756249,Germanic,Slavic,com/neu,masc/fem/neu
sk,hr,1226.99132722054,Slavic,Slavic,masc/fem/neu,masc/fem/neu
ro,hr,4406.67348211566,Romance,Slavic,masc/fem/neu,masc/fem/neu
it,hr,4406.25322328562,Romance,Slavic,masc/fem,masc/fem/neu
pt,hr,4407.0325109822,Romance,Slavic,masc/fem,masc/fem/neu
bg,hr,666.07611935692,Slavic,Slavic,masc/fem/neu,masc/fem/neu
cs,hr,1226.47557400098,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,hr,4406.93135857564,Romance,Slavic,masc/fem,masc/fem/neu
sl,hr,820.43688052965,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hr,hr,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lt,hr,2457.008383865,Baltic,Slavic,masc/fem,masc/fem/neu
ru,hr,1227.02850322345,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sl,cs,1227.02727721002,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,cs,4405.28838556123,Germanic,Slavic,masc/fem/neu,masc/fem/neu
uk,cs,727.78107806186,Slavic,Slavic,masc/fem/neu,masc/fem/neu
el,cs,4535.98173665248,Greek,Slavic,masc/fem/neu,masc/fem/neu
sk,cs,268.048898824021,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,cs,4406.77082803468,Romance,Slavic,masc/fem,masc/fem/neu
pl,cs,645.672993164385,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hi,cs,4792.02864937654,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
sv,cs,4406.35457891239,Germanic,Slavic,com/neu,masc/fem/neu
ca,cs,4406.7027348316,Romance,Slavic,masc/fem,masc/fem/neu
ru,cs,727.470907004705,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,cs,4404.91247405363,Romance,Slavic,masc/fem,masc/fem/neu
lt,cs,2456.84785332403,Baltic,Slavic,masc/fem,masc/fem/neu
cs,cs,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lv,cs,2456.94958368452,Baltic,Slavic,masc/fem,masc/fem/neu
nl,cs,4406.34722570803,Germanic,Slavic,com/neu,masc/fem/neu
ro,cs,4406.51295157469,Romance,Slavic,masc/fem/neu,masc/fem/neu
hr,cs,1226.47557400098,Slavic,Slavic,masc/fem/neu,masc/fem/neu
it,cs,4406.09269274466,Romance,Slavic,masc/fem,masc/fem/neu
pt,cs,4406.87198044123,Romance,Slavic,masc/fem,masc/fem/neu
bg,cs,1226.82435833036,Slavic,Slavic,masc/fem/neu,masc/fem/neu
da,cs,4406.09694475912,Germanic,Slavic,com/neu,masc/fem/neu
pl,da,4406.59287908091,Slavic,Germanic,masc/fem/neu,com/neu
uk,da,4406.96004503874,Slavic,Germanic,masc/fem/neu,com/neu
hi,da,4792.17260368428,Indo-Iranian,Germanic,masc/fem,com/neu
lv,da,4406.83613102297,Baltic,Germanic,masc/fem,com/neu
ro,da,3753.1636580383,Romance,Germanic,masc/fem/neu,com/neu
sv,da,497.60771332615,Germanic,Germanic,com/neu,com/neu
es,da,3753.42153449827,Romance,Germanic,masc/fem,com/neu
it,da,3752.74339920826,Romance,Germanic,masc/fem,com/neu
sk,da,4406.61269797868,Slavic,Germanic,masc/fem/neu,com/neu
nl,da,1669.28792153761,Germanic,Germanic,com/neu,com/neu
el,da,4536.12569096023,Greek,Germanic,masc/fem/neu,com/neu
sl,da,4406.80917850912,Slavic,Germanic,masc/fem/neu,com/neu
da,da,0,Germanic,Germanic,com/neu,com/neu
lt,da,4406.73440066249,Baltic,Germanic,masc/fem,com/neu
de,da,1668.22908139081,Germanic,Germanic,masc/fem/neu,com/neu
ru,da,4406.64987398159,Slavic,Germanic,masc/fem/neu,com/neu
fr,da,3751.56318051723,Romance,Germanic,masc/fem,com/neu
cs,da,4406.09694475912,Slavic,Germanic,masc/fem/neu,com/neu
ca,da,3753.35344129519,Romance,Germanic,masc/fem,com/neu
hr,da,4406.25747530009,Slavic,Germanic,masc/fem/neu,com/neu
pt,da,3753.52268690483,Romance,Germanic,masc/fem,com/neu
bg,da,4406.60625962947,Slavic,Germanic,masc/fem/neu,com/neu
uk,nl,4407.21032598765,Slavic,Germanic,masc/fem/neu,com/neu
lv,nl,4407.08641197189,Baltic,Germanic,masc/fem,com/neu
ru,nl,4406.9001549305,Slavic,Germanic,masc/fem/neu,com/neu
sl,nl,4407.05945945804,Slavic,Germanic,masc/fem/neu,com/neu
ro,nl,3753.4139389872,Romance,Germanic,masc/fem/neu,com/neu
sv,nl,1669.54555569089,Germanic,Germanic,com/neu,com/neu
hr,nl,4406.507756249,Slavic,Germanic,masc/fem/neu,com/neu
sk,nl,4406.86297892759,Slavic,Germanic,masc/fem/neu,com/neu
cs,nl,4406.34722570803,Slavic,Germanic,masc/fem/neu,com/neu
fr,nl,3751.81346146614,Romance,Germanic,masc/fem,com/neu
es,nl,3753.67181544719,Romance,Germanic,masc/fem,com/neu
bg,nl,4406.85654057838,Slavic,Germanic,masc/fem/neu,com/neu
hi,nl,4792.4228846332,Indo-Iranian,Germanic,masc/fem,com/neu
pl,nl,4406.84316002983,Slavic,Germanic,masc/fem/neu,com/neu
nl,nl,0,Germanic,Germanic,com/neu,com/neu
el,nl,4536.37597190914,Greek,Germanic,masc/fem/neu,com/neu
de,nl,1386.77341544442,Germanic,Germanic,masc/fem/neu,com/neu
da,nl,1669.28792153761,Germanic,Germanic,com/neu,com/neu
lt,nl,4406.98468161139,Baltic,Germanic,masc/fem,com/neu
ca,nl,3753.60372224411,Romance,Germanic,masc/fem,com/neu
it,nl,3752.99368015716,Romance,Germanic,masc/fem,com/neu
pt,nl,3753.77296785374,Romance,Germanic,masc/fem,com/neu
sk,hi,4792.5444025961,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
hi,hi,0,Indo-Iranian,Indo-Iranian,masc/fem,masc/fem
fr,hi,4790.98813297879,Romance,Indo-Iranian,masc/fem,masc/fem
pl,hi,4792.52458369833,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
cs,hi,4792.02864937654,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
el,hi,4792.54494367325,Greek,Indo-Iranian,masc/fem/neu,masc/fem
lv,hi,4792.7678356404,Baltic,Indo-Iranian,masc/fem,masc/fem
nl,hi,4792.4228846332,Germanic,Indo-Iranian,com/neu,masc/fem
ru,hi,4792.58157859901,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
ro,hi,4792.58861049986,Romance,Indo-Iranian,masc/fem/neu,masc/fem
ca,hi,4792.77839375676,Romance,Indo-Iranian,masc/fem,masc/fem
da,hi,4792.17260368428,Germanic,Indo-Iranian,com/neu,masc/fem
lt,hi,4792.66610527991,Baltic,Indo-Iranian,masc/fem,masc/fem
it,hi,4792.16835166981,Romance,Indo-Iranian,masc/fem,masc/fem
pt,hi,4792.9476393664,Romance,Indo-Iranian,masc/fem,masc/fem
es,hi,4792.84648695983,Romance,Indo-Iranian,masc/fem,masc/fem
uk,hi,4792.89174965616,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
bg,hi,4792.53796424689,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
sv,hi,4792.43023783756,Germanic,Indo-Iranian,com/neu,masc/fem
sl,hi,4792.74088312654,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
de,hi,4791.36404448639,Germanic,Indo-Iranian,masc/fem/neu,masc/fem
hr,hi,4792.1891799175,Slavic,Indo-Iranian,masc/fem/neu,masc/fem
sv,it,3753.00103336153,Germanic,Romance,com/neu,masc/fem
hi,it,4792.16835166981,Indo-Iranian,Romance,masc/fem,masc/fem
uk,it,4406.95579302428,Slavic,Romance,masc/fem/neu,masc/fem
lt,it,4406.73014864802,Baltic,Romance,masc/fem,masc/fem
lv,it,4406.83187900851,Baltic,Romance,masc/fem,masc/fem
da,it,3752.74339920826,Germanic,Romance,com/neu,masc/fem
bg,it,4406.60200761501,Slavic,Romance,masc/fem/neu,masc/fem
de,it,3751.93484001036,Germanic,Romance,masc/fem/neu,masc/fem
sk,it,4406.60844596422,Slavic,Romance,masc/fem/neu,masc/fem
es,it,905.922658149185,Romance,Romance,masc/fem,masc/fem
pl,it,4406.58862706645,Slavic,Romance,masc/fem/neu,masc/fem
sl,it,4406.80492649466,Slavic,Romance,masc/fem/neu,masc/fem
ru,it,4406.64562196712,Slavic,Romance,masc/fem/neu,masc/fem
fr,it,904.06430416814,Romance,Romance,masc/fem,masc/fem
cs,it,4406.09269274466,Slavic,Romance,masc/fem/neu,masc/fem
el,it,4536.12143894576,Greek,Romance,masc/fem/neu,masc/fem
ro,it,1105.20559710308,Romance,Romance,masc/fem/neu,masc/fem
ca,it,905.854564946105,Romance,Romance,masc/fem,masc/fem
hr,it,4406.25322328562,Slavic,Romance,masc/fem/neu,masc/fem
it,it,0,Romance,Romance,masc/fem,masc/fem
nl,it,3752.99368015716,Germanic,Romance,com/neu,masc/fem
pt,it,906.02381055574,Romance,Romance,masc/fem,masc/fem
es,lv,4407.51001429853,Romance,Baltic,masc/fem,masc/fem
bg,lv,2457.45889855487,Slavic,Baltic,masc/fem/neu,masc/fem
da,lv,4406.83613102297,Germanic,Baltic,com/neu,masc/fem
sl,lv,2457.66181743453,Slavic,Baltic,masc/fem/neu,masc/fem
ca,lv,4407.44192109545,Romance,Baltic,masc/fem,masc/fem
pl,lv,2457.44551800632,Slavic,Baltic,masc/fem/neu,masc/fem
hi,lv,4792.7678356404,Indo-Iranian,Baltic,masc/fem,masc/fem
ro,lv,4407.25213783855,Romance,Baltic,masc/fem/neu,masc/fem
sk,lv,2457.46533690409,Slavic,Baltic,masc/fem/neu,masc/fem
ru,lv,2457.50251290699,Slavic,Baltic,masc/fem/neu,masc/fem
sv,lv,4407.09376517625,Germanic,Baltic,com/neu,masc/fem
cs,lv,2456.94958368452,Slavic,Baltic,masc/fem/neu,masc/fem
nl,lv,4407.08641197189,Germanic,Baltic,com/neu,masc/fem
el,lv,4536.72092291635,Greek,Baltic,masc/fem/neu,masc/fem
de,lv,4406.02757182509,Germanic,Baltic,masc/fem/neu,masc/fem
lt,lv,917.246311338605,Baltic,Baltic,masc/fem,masc/fem
fr,lv,4405.65166031749,Romance,Baltic,masc/fem,masc/fem
lv,lv,0,Baltic,Baltic,masc/fem,masc/fem
hr,lv,2457.11011422549,Slavic,Baltic,masc/fem/neu,masc/fem
it,lv,4406.83187900851,Romance,Baltic,masc/fem,masc/fem
pt,lv,4407.61116670509,Romance,Baltic,masc/fem,masc/fem
uk,lv,2457.81268396414,Slavic,Baltic,masc/fem/neu,masc/fem
hi,lt,4792.66610527991,Indo-Iranian,Baltic,masc/fem,masc/fem
lt,lt,0,Baltic,Baltic,masc/fem,masc/fem
lv,lt,917.246311338605,Baltic,Baltic,masc/fem,masc/fem
uk,lt,2457.71095360366,Slavic,Baltic,masc/fem/neu,masc/fem
da,lt,4406.73440066249,Germanic,Baltic,com/neu,masc/fem
